Country,Crop,Average_annual_rainfall(mm),Pesticides_used(tonnes),Average_temperature(degree C),Crop_yield(hg/ha)
Albania,Soybeans,1485.0,439.89,16.27,14327
Albania,Wheat,1485.0,439.89,16.27,28037
Albania,Maize,1485.0,502.86,16.57,37455
Albania,Potatoes,1485.0,502.86,16.57,142018
Albania,Soybeans,1485.0,502.86,16.57,17143
Albania,Wheat,1485.0,502.86,16.57,24954
Albania,Maize,1485.0,565.82,16.67,38811
Albania,Potatoes,1485.0,565.82,16.67,141228
Albania,Soybeans,1485.0,565.82,16.67,15000
Albania,Wheat,1485.0,565.82,16.67,30455
Albania,Maize,1485.0,628.79,16.59,38135
Albania,Potatoes,1485.0,628.79,16.59,148818
Albania,Soybeans,1485.0,628.79,16.59,20000
Albania,Wheat,1485.0,628.79,16.59,28220
Albania,Maize,1485.0,691.75,16.47,39460
Albania,Potatoes,1485.0,691.75,16.47,153868
Albania,Soybeans,1485.0,691.75,16.47,20000
Albania,Wheat,1485.0,691.75,16.47,31617
Albania,Maize,1485.0,817.68,16.16,46197
Albania,Potatoes,1485.0,817.68,16.16,149346
Albania,Soybeans,1485.0,817.68,16.16,13333
Albania,Wheat,1485.0,817.68,16.16,31130
Albania,Maize,1485.0,880.64,15.67,45442
Albania,Potatoes,1485.0,880.64,15.67,167061
Albania,Soybeans,1485.0,880.64,15.67,17500
Albania,Wheat,1485.0,880.64,15.67,31582
Albania,Maize,1485.0,943.61,15.92,50111
Albania,Potatoes,1485.0,943.61,15.92,170745
Albania,Soybeans,1485.0,943.61,15.92,20000
Albania,Wheat,1485.0,943.61,15.92,30787
Albania,Maize,1485.0,1006.57,16.67,46732
Albania,Potatoes,1485.0,1006.57,16.67,188902
Albania,Soybeans,1485.0,1006.57,16.67,20000
Albania,Wheat,1485.0,1006.57,16.67,35496
Albania,Maize,1485.0,1069.54,16.71,50000
Albania,Potatoes,1485.0,1069.54,16.71,193878
Albania,Soybeans,1485.0,1069.54,16.71,20000
Albania,Wheat,1485.0,1069.54,16.71,40168
Albania,Maize,1485.0,1132.5,16.73,55693
Albania,Potatoes,1485.0,1132.5,16.73,219780
Albania,Soybeans,1485.0,1132.5,16.73,16667
Albania,Wheat,1485.0,1132.5,16.73,40229
Albania,Maize,1485.0,1311.17,16.52,66790
Albania,Potatoes,1485.0,1311.17,16.52,231111
Albania,Soybeans,1485.0,1311.17,16.52,16667
Albania,Wheat,1485.0,1311.17,16.52,39905
Albania,Maize,1485.0,1302.63,16.45,59869
Albania,Potatoes,1485.0,1302.63,16.45,242211
Albania,Soybeans,1485.0,1302.63,16.45,18519
Albania,Wheat,1485.0,1302.63,16.45,42301
Albania,Maize,1485.0,766.25,16.7,67290
Albania,Potatoes,1485.0,766.25,16.7,250538
Albania,Soybeans,1485.0,766.25,16.7,13333
Albania,Wheat,1485.0,766.25,16.7,41096
Albania,Maize,1485.0,982.32,17.41,69533
Albania,Potatoes,1485.0,982.32,17.41,260110
Albania,Soybeans,1485.0,982.32,17.41,10000
Albania,Wheat,1485.0,982.32,17.41,41292
Algeria,Maize,89.0,1828.92,17.48,16500
Algeria,Potatoes,89.0,1828.92,17.48,78936
Algeria,"Rice, paddy",89.0,1828.92,17.48,28000
Algeria,Sorghum,89.0,1828.92,17.48,16571
Algeria,Wheat,89.0,1828.92,17.48,6315
Algeria,Maize,89.0,2461.8,16.26,19231
Algeria,Potatoes,89.0,2461.8,16.26,90747
Algeria,"Rice, paddy",89.0,2461.8,16.26,26786
Algeria,Sorghum,89.0,2461.8,16.26,24231
Algeria,Wheat,89.0,2461.8,16.26,10809
Algeria,Maize,89.0,1215.47,16.27,22828
Algeria,Potatoes,89.0,1215.47,16.27,107917
Algeria,"Rice, paddy",89.0,1215.47,16.27,24733
Algeria,Sorghum,89.0,1215.47,16.27,40000
Algeria,Wheat,89.0,1215.47,16.27,9939
Algeria,Maize,89.0,1021.89,17.0,12500
Algeria,Potatoes,89.0,1021.89,17.0,111215
Algeria,"Rice, paddy",89.0,1021.89,17.0,23111
Algeria,Sorghum,89.0,1021.89,17.0,50000
Algeria,Wheat,89.0,1021.89,17.0,8097
Algeria,Maize,89.0,1255.02,17.88,4512
Algeria,Potatoes,89.0,1255.02,17.88,95078
Algeria,"Rice, paddy",89.0,1255.02,17.88,21374
Algeria,Wheat,89.0,1255.02,17.88,7999
Algeria,Maize,89.0,2697.09,17.36,16115
Algeria,Potatoes,89.0,2697.09,17.36,136768
Algeria,"Rice, paddy",89.0,2697.09,17.36,19598
Algeria,Sorghum,89.0,2697.09,17.36,12667
Algeria,Wheat,89.0,2697.09,17.36,8924
Algeria,Maize,89.0,479.77,16.76,17154
Algeria,Potatoes,89.0,479.77,16.76,134629
Algeria,"Rice, paddy",89.0,479.77,16.76,17861
Algeria,Sorghum,89.0,479.77,16.76,14750
Algeria,Wheat,89.0,479.77,16.76,13090
Algeria,Maize,89.0,401.22,17.84,21417
Algeria,Potatoes,89.0,401.22,17.84,141042
Algeria,"Rice, paddy",89.0,401.22,17.84,15000
Algeria,Sorghum,89.0,401.22,17.84,40000
Algeria,Wheat,89.0,401.22,17.84,8016
Algeria,Maize,89.0,322.84,17.14,17222
Algeria,Potatoes,89.0,322.84,17.14,160256
Algeria,"Rice, paddy",89.0,322.84,17.14,15000
Algeria,Sorghum,89.0,322.84,17.14,24500
Algeria,Wheat,89.0,322.84,17.14,8847
Algeria,Maize,89.0,654.45,17.97,22375
Algeria,Potatoes,89.0,654.45,17.97,153532
Algeria,"Rice, paddy",89.0,654.45,17.97,13942
Algeria,Sorghum,89.0,654.45,17.97,27000
Algeria,Wheat,89.0,654.45,17.97,10711
Algeria,Maize,89.0,603.67,17.9,36186
Algeria,Potatoes,89.0,603.67,17.9,166143
Algeria,"Rice, paddy",89.0,603.67,17.9,13052
Algeria,Sorghum,89.0,603.67,17.9,69500
Algeria,Wheat,89.0,603.67,17.9,9194
Algeria,Maize,89.0,710.11,18.13,27175
Algeria,Potatoes,89.0,710.11,18.13,147018
Algeria,"Rice, paddy",89.0,710.11,18.13,12314
Algeria,Sorghum,89.0,710.11,18.13,27750
Algeria,Wheat,89.0,710.11,18.13,11104
Algeria,Maize,89.0,816.55,17.85,33480
Algeria,Potatoes,89.0,816.55,17.85,183774
Algeria,"Rice, paddy",89.0,816.55,17.85,12959
Algeria,Sorghum,89.0,816.55,17.85,33900
Algeria,Wheat,89.0,816.55,17.85,10739
Algeria,Maize,89.0,3747.86,17.38,31729
Algeria,Potatoes,89.0,3747.86,17.38,203585
Algeria,"Rice, paddy",89.0,3747.86,17.38,12829
Algeria,Sorghum,89.0,3747.86,17.38,43316
Algeria,Wheat,89.0,3747.86,17.38,13582
Algeria,Maize,89.0,3662.87,17.19,33864
Algeria,Potatoes,89.0,3662.87,17.19,216267
Algeria,"Rice, paddy",89.0,3662.87,17.19,12998
Algeria,Sorghum,89.0,3662.87,17.19,33486
Algeria,Wheat,89.0,3662.87,17.19,15057
Algeria,Maize,89.0,4110.72,18.13,65668
Algeria,Potatoes,89.0,4110.72,18.13,220689
Algeria,"Rice, paddy",89.0,4110.72,18.13,12769
Algeria,Sorghum,89.0,4110.72,18.13,56728
Algeria,Wheat,89.0,4110.72,18.13,15068
Algeria,Maize,89.0,5390.79,17.42,85625
Algeria,Potatoes,89.0,5390.79,17.42,189927
Algeria,"Rice, paddy",89.0,5390.79,17.42,13375
Algeria,Sorghum,89.0,5390.79,17.42,119059
Algeria,Wheat,89.0,5390.79,17.42,12742
Algeria,Maize,89.0,11556.12,17.55,44714
Algeria,Potatoes,89.0,11556.12,17.55,236393
Algeria,"Rice, paddy",89.0,11556.12,17.55,13952
Algeria,Sorghum,89.0,11556.12,17.55,61786
Algeria,Wheat,89.0,11556.12,17.55,11038
Algeria,Maize,89.0,3867.99,17.78,30914
Algeria,Potatoes,89.0,3867.99,17.78,250764
Algeria,"Rice, paddy",89.0,3867.99,17.78,14594
Algeria,Sorghum,89.0,3867.99,17.78,90465
Algeria,Wheat,89.0,3867.99,17.78,15975
Algeria,Maize,89.0,1295.88,17.59,25827
Algeria,Potatoes,89.0,1295.88,17.59,270526
Algeria,"Rice, paddy",89.0,1295.88,17.59,15305
Algeria,Sorghum,89.0,1295.88,17.59,30286
Algeria,Wheat,89.0,1295.88,17.59,14838
Algeria,Maize,89.0,13861.76,17.79,23374
Algeria,Potatoes,89.0,13861.76,17.79,292806
Algeria,"Rice, paddy",89.0,13861.76,17.79,16081
Algeria,Sorghum,89.0,13861.76,17.79,100000
Algeria,Wheat,89.0,13861.76,17.79,17405
Algeria,Maize,89.0,17379.76,17.91,25583
Algeria,Potatoes,89.0,17379.76,17.91,304291
Algeria,"Rice, paddy",89.0,17379.76,17.91,16667
Algeria,Sorghum,89.0,17379.76,17.91,206000
Algeria,Wheat,89.0,17379.76,17.91,17639
Algeria,Maize,89.0,17278.65,17.65,33649
Algeria,Potatoes,89.0,17278.65,17.65,303218
Algeria,"Rice, paddy",89.0,17278.65,17.65,17778
Algeria,Sorghum,89.0,17278.65,17.65,60000
Algeria,Wheat,89.0,17278.65,17.65,19100
Angola,Cassava,1010.0,64.0,24.12,41177
Angola,Maize,1010.0,64.0,24.12,2736
Angola,Potatoes,1010.0,64.0,24.12,40000
Angola,"Rice, paddy",1010.0,64.0,24.12,9512
Angola,Sweet potatoes,1010.0,64.0,24.12,89342
Angola,Wheat,1010.0,64.0,24.12,7995
Angola,Cassava,1010.0,79.0,24.02,40295
Angola,Maize,1010.0,79.0,24.02,4013
Angola,Potatoes,1010.0,79.0,24.02,40000
Angola,"Rice, paddy",1010.0,79.0,24.02,10000
Angola,Sweet potatoes,1010.0,79.0,24.02,83001
Angola,Wheat,1010.0,79.0,24.02,8000
Angola,Cassava,1010.0,23.0,23.96,42295
Angola,Maize,1010.0,23.0,23.96,3778
Angola,Potatoes,1010.0,23.0,23.96,40000
Angola,"Rice, paddy",1010.0,23.0,23.96,9106
Angola,Sweet potatoes,1010.0,23.0,23.96,90000
Angola,Wheat,1010.0,23.0,23.96,8000
Angola,Cassava,1010.0,169.0,24.15,42295
Angola,Maize,1010.0,169.0,24.15,2627
Angola,Potatoes,1010.0,169.0,24.15,70000
Angola,"Rice, paddy",1010.0,169.0,24.15,8000
Angola,Sweet potatoes,1010.0,169.0,24.15,88095
Angola,Wheat,1010.0,169.0,24.15,8876
Angola,Cassava,1010.0,25.5,24.04,58596
Angola,Maize,1010.0,25.5,24.04,2463
Angola,Potatoes,1010.0,25.5,24.04,90000
Angola,"Rice, paddy",1010.0,25.5,24.04,8750
Angola,Sweet potatoes,1010.0,25.5,24.04,83192
Angola,Wheat,1010.0,25.5,24.04,10000
Angola,Cassava,1010.0,336.0,24.56,51000
Angola,Maize,1010.0,336.0,24.56,3517
Angola,Potatoes,1010.0,336.0,24.56,76738
Angola,"Rice, paddy",1010.0,336.0,24.56,14615
Angola,Sweet potatoes,1010.0,336.0,24.56,81138
Angola,Wheat,1010.0,336.0,24.56,11855
Angola,Cassava,1010.0,40.0,24.11,48077
Angola,Maize,1010.0,40.0,24.11,6993
Angola,Potatoes,1010.0,40.0,24.11,70000
Angola,"Rice, paddy",1010.0,40.0,24.11,17500
Angola,Sweet potatoes,1010.0,40.0,24.11,85455
Angola,Wheat,1010.0,40.0,24.11,13738
Angola,Cassava,1010.0,40.0,24.06,44205
Angola,Maize,1010.0,40.0,24.06,5959
Angola,Potatoes,1010.0,40.0,24.06,68571
Angola,"Rice, paddy",1010.0,40.0,24.06,20000
Angola,Sweet potatoes,1010.0,40.0,24.06,78098
Angola,Wheat,1010.0,40.0,24.06,15509
Angola,Cassava,1010.0,40.0,24.96,55728
Angola,Maize,1010.0,40.0,24.96,7396
Angola,Potatoes,1010.0,40.0,24.96,62724
Angola,"Rice, paddy",1010.0,40.0,24.96,20000
Angola,Sweet potatoes,1010.0,40.0,24.96,76256
Angola,Wheat,1010.0,40.0,24.96,17143
Angola,Cassava,1010.0,40.0,24.37,59821
Angola,Maize,1010.0,40.0,24.37,6361
Angola,Potatoes,1010.0,40.0,24.37,54597
Angola,"Rice, paddy",1010.0,40.0,24.37,14235
Angola,Sweet potatoes,1010.0,40.0,24.37,82865
Angola,Wheat,1010.0,40.0,24.37,17391
Angola,Cassava,1010.0,40.0,24.41,82992
Angola,Maize,1010.0,40.0,24.41,5745
Angola,Potatoes,1010.0,40.0,24.41,29885
Angola,"Rice, paddy",1010.0,40.0,24.41,13454
Angola,Sorghum,1010.0,40.0,24.41,3333
Angola,Soybeans,1010.0,40.0,24.41,2333
Angola,Sweet potatoes,1010.0,40.0,24.41,34938
Angola,Wheat,1010.0,40.0,24.41,17023
Angola,Cassava,1010.0,40.0,24.43,94072
Angola,Maize,1010.0,40.0,24.43,5754
Angola,Potatoes,1010.0,40.0,24.43,42552
Angola,"Rice, paddy",1010.0,40.0,24.43,13701
Angola,Sorghum,1010.0,40.0,24.43,3571
Angola,Soybeans,1010.0,40.0,24.43,2500
Angola,Sweet potatoes,1010.0,40.0,24.43,44458
Angola,Wheat,1010.0,40.0,24.43,16667
Angola,Cassava,1010.0,40.0,24.79,110071
Angola,Maize,1010.0,40.0,24.79,6706
Angola,Potatoes,1010.0,40.0,24.79,42754
Angola,"Rice, paddy",1010.0,40.0,24.79,13198
Angola,Sorghum,1010.0,40.0,24.79,3400
Angola,Soybeans,1010.0,40.0,24.79,2857
Angola,Sweet potatoes,1010.0,40.0,24.79,42190
Angola,Wheat,1010.0,40.0,24.79,15455
Angola,Cassava,1010.0,40.0,24.22,125605
Angola,Maize,1010.0,40.0,24.22,5404
Angola,Potatoes,1010.0,40.0,24.22,20150
Angola,"Rice, paddy",1010.0,40.0,24.22,11584
Angola,Sorghum,1010.0,40.0,24.22,3333
Angola,Soybeans,1010.0,40.0,24.22,3600
Angola,Sweet potatoes,1010.0,40.0,24.22,45360
Angola,Wheat,1010.0,40.0,24.22,12442
Angola,Cassava,1010.0,40.0,24.41,117628
Angola,Maize,1010.0,40.0,24.41,6736
Angola,Potatoes,1010.0,40.0,24.41,23646
Angola,"Rice, paddy",1010.0,40.0,24.41,6977
Angola,Sorghum,1010.0,40.0,24.41,3333
Angola,Soybeans,1010.0,40.0,24.41,3793
Angola,Sweet potatoes,1010.0,40.0,24.41,46159
Angola,Wheat,1010.0,40.0,24.41,10946
Angola,Cassava,1010.0,40.0,24.14,117201
Angola,Maize,1010.0,40.0,24.14,4687
Angola,Potatoes,1010.0,40.0,24.14,52148
Angola,"Rice, paddy",1010.0,40.0,24.14,4947
Angola,Sorghum,1010.0,40.0,24.14,4091
Angola,Soybeans,1010.0,40.0,24.14,4286
Angola,Sweet potatoes,1010.0,40.0,24.14,44240
Angola,Wheat,1010.0,40.0,24.14,10000
Angola,Cassava,1010.0,40.0,24.24,115387
Angola,Maize,1010.0,40.0,24.24,5091
Angola,Potatoes,1010.0,40.0,24.24,62138
Angola,"Rice, paddy",1010.0,40.0,24.24,5143
Angola,Sorghum,1010.0,40.0,24.24,4031
Angola,Soybeans,1010.0,40.0,24.24,6883
Angola,Sweet potatoes,1010.0,40.0,24.24,58855
Angola,Wheat,1010.0,40.0,24.24,10000
Angola,Cassava,1010.0,40.0,24.27,148084
Angola,Maize,1010.0,40.0,24.27,7946
Angola,Potatoes,1010.0,40.0,24.27,85085
Angola,"Rice, paddy",1010.0,40.0,24.27,5084
Angola,Sorghum,1010.0,40.0,24.27,929
Angola,Soybeans,1010.0,40.0,24.27,8575
Angola,Sweet potatoes,1010.0,40.0,24.27,65437
Angola,Wheat,1010.0,40.0,24.27,10000
Angola,Cassava,1010.0,40.0,24.33,151759
Angola,Maize,1010.0,40.0,24.33,6614
Angola,Potatoes,1010.0,40.0,24.33,86509
Angola,"Rice, paddy",1010.0,40.0,24.33,6028
Angola,Sorghum,1010.0,40.0,24.33,2480
Angola,Soybeans,1010.0,40.0,24.33,4449
Angola,Sweet potatoes,1010.0,40.0,24.33,66475
Angola,Wheat,1010.0,40.0,24.33,10000
Angola,Cassava,1010.0,40.0,24.44,155782
Angola,Maize,1010.0,40.0,24.44,7200
Angola,Potatoes,1010.0,40.0,24.44,87425
Angola,"Rice, paddy",1010.0,40.0,24.44,7403
Angola,Sorghum,1010.0,40.0,24.44,2814
Angola,Soybeans,1010.0,40.0,24.44,4446
Angola,Sweet potatoes,1010.0,40.0,24.44,63001
Angola,Wheat,1010.0,40.0,24.44,10526
Angola,Cassava,1010.0,40.0,24.15,133649
Angola,Maize,1010.0,40.0,24.15,7376
Angola,Potatoes,1010.0,40.0,24.15,81366
Angola,"Rice, paddy",1010.0,40.0,24.15,8914
Angola,Sorghum,1010.0,40.0,24.15,3320
Angola,Soybeans,1010.0,40.0,24.15,5294
Angola,Sweet potatoes,1010.0,40.0,24.15,65512
Angola,Wheat,1010.0,40.0,24.15,10959
Angola,Cassava,1010.0,40.0,24.24,100073
Angola,Maize,1010.0,40.0,24.24,7770
Angola,Potatoes,1010.0,40.0,24.24,69381
Angola,"Rice, paddy",1010.0,40.0,24.24,7703
Angola,Sorghum,1010.0,40.0,24.24,998
Angola,Soybeans,1010.0,40.0,24.24,1641
Angola,Sweet potatoes,1010.0,40.0,24.24,52954
Angola,Wheat,1010.0,40.0,24.24,11258
Angola,Cassava,1010.0,40.0,24.55,140517
Angola,Maize,1010.0,40.0,24.55,9467
Angola,Potatoes,1010.0,40.0,24.55,63303
Angola,"Rice, paddy",1010.0,40.0,24.55,12744
Angola,Sorghum,1010.0,40.0,24.55,2415
Angola,Soybeans,1010.0,40.0,24.55,4405
Angola,Sweet potatoes,1010.0,40.0,24.55,73409
Angola,Wheat,1010.0,40.0,24.55,9022
Argentina,Cassava,591.0,26156.0,17.46,100000
Argentina,Cassava,591.0,26156.0,17.67,100000
Argentina,Maize,591.0,26156.0,17.46,34608
Argentina,Maize,591.0,26156.0,17.67,34608
Argentina,Potatoes,591.0,26156.0,17.46,202747
Argentina,Potatoes,591.0,26156.0,17.67,202747
Argentina,"Rice, paddy",591.0,26156.0,17.46,36709
Argentina,"Rice, paddy",591.0,26156.0,17.67,36709
Argentina,Sorghum,591.0,26156.0,17.46,28116
Argentina,Sorghum,591.0,26156.0,17.67,28116
Argentina,Soybeans,591.0,26156.0,17.46,21566
Argentina,Soybeans,591.0,26156.0,17.67,21566
Argentina,Sweet potatoes,591.0,26156.0,17.46,131864
Argentina,Sweet potatoes,591.0,26156.0,17.67,131864
Argentina,Wheat,591.0,26156.0,17.46,18947
Argentina,Wheat,591.0,26156.0,17.67,18947
Argentina,Cassava,591.0,26156.0,17.64,100000
Argentina,Cassava,591.0,26156.0,17.86,100000
Argentina,Maize,591.0,26156.0,17.64,40444
Argentina,Maize,591.0,26156.0,17.86,40444
Argentina,Potatoes,591.0,26156.0,17.64,205692
Argentina,Potatoes,591.0,26156.0,17.86,205692
Argentina,"Rice, paddy",591.0,26156.0,17.64,40294
Argentina,"Rice, paddy",591.0,26156.0,17.86,40294
Argentina,Sorghum,591.0,26156.0,17.64,33320
Argentina,Sorghum,591.0,26156.0,17.86,33320
Argentina,Soybeans,591.0,26156.0,17.64,22750
Argentina,Soybeans,591.0,26156.0,17.86,22750
Argentina,Sweet potatoes,591.0,26156.0,17.64,131364
Argentina,Sweet potatoes,591.0,26156.0,17.86,131364
Argentina,Wheat,591.0,26156.0,17.64,18972
Argentina,Wheat,591.0,26156.0,17.86,18972
Argentina,Cassava,591.0,26156.0,17.09,100000
Argentina,Cassava,591.0,26156.0,17.51,100000
Argentina,Maize,591.0,26156.0,17.09,45237
Argentina,Maize,591.0,26156.0,17.51,45237
Argentina,Potatoes,591.0,26156.0,17.09,199039
Argentina,Potatoes,591.0,26156.0,17.51,199039
Argentina,"Rice, paddy",591.0,26156.0,17.09,52075
Argentina,"Rice, paddy",591.0,26156.0,17.51,52075
Argentina,Sorghum,591.0,26156.0,17.09,36217
Argentina,Sorghum,591.0,26156.0,17.51,36217
Argentina,Soybeans,591.0,26156.0,17.09,22915
Argentina,Soybeans,591.0,26156.0,17.51,22915
Argentina,Sweet potatoes,591.0,26156.0,17.09,127273
Argentina,Sweet potatoes,591.0,26156.0,17.51,127273
Argentina,Wheat,591.0,26156.0,17.09,21809
Argentina,Wheat,591.0,26156.0,17.51,21809
Argentina,Cassava,591.0,26156.0,17.32,100000
Argentina,Cassava,591.0,26156.0,17.53,100000
Argentina,Maize,591.0,26156.0,17.32,43552
Argentina,Maize,591.0,26156.0,17.53,43552
Argentina,Potatoes,591.0,26156.0,17.32,210314
Argentina,Potatoes,591.0,26156.0,17.53,210314
Argentina,"Rice, paddy",591.0,26156.0,17.32,43559
Argentina,"Rice, paddy",591.0,26156.0,17.53,43559
Argentina,Sorghum,591.0,26156.0,17.32,39529
Argentina,Sorghum,591.0,26156.0,17.53,39529
Argentina,Soybeans,591.0,26156.0,17.32,21589
Argentina,Soybeans,591.0,26156.0,17.53,21589
Argentina,Sweet potatoes,591.0,26156.0,17.32,122955
Argentina,Sweet potatoes,591.0,26156.0,17.53,122955
Argentina,Wheat,591.0,26156.0,17.32,23272
Argentina,Wheat,591.0,26156.0,17.53,23272
Argentina,Cassava,591.0,30195.0,18.17,100000
Argentina,Cassava,591.0,30195.0,18.31,100000
Argentina,Maize,591.0,30195.0,18.17,42371
Argentina,Maize,591.0,30195.0,18.31,42371
Argentina,Potatoes,591.0,30195.0,18.17,230166
Argentina,Potatoes,591.0,30195.0,18.31,230166
Argentina,"Rice, paddy",591.0,30195.0,18.17,42989
Argentina,"Rice, paddy",591.0,30195.0,18.31,42989
Argentina,Sorghum,591.0,30195.0,18.17,35065
Argentina,Sorghum,591.0,30195.0,18.31,35065
Argentina,Soybeans,591.0,30195.0,18.17,20386
Argentina,Soybeans,591.0,30195.0,18.31,20386
Argentina,Sweet potatoes,591.0,30195.0,18.17,176667
Argentina,Sweet potatoes,591.0,30195.0,18.31,176667
Argentina,Wheat,591.0,30195.0,18.17,20237
Argentina,Wheat,591.0,30195.0,18.31,20237
Argentina,Cassava,591.0,37842.0,17.74,100000
Argentina,Cassava,591.0,37842.0,17.62,100000
Argentina,Maize,591.0,37842.0,17.74,45223
Argentina,Maize,591.0,37842.0,17.62,45223
Argentina,Potatoes,591.0,37842.0,17.74,274272
Argentina,Potatoes,591.0,37842.0,17.62,274272
Argentina,"Rice, paddy",591.0,37842.0,17.74,50306
Argentina,"Rice, paddy",591.0,37842.0,17.62,50306
Argentina,Sorghum,591.0,37842.0,17.74,34588
Argentina,Sorghum,591.0,37842.0,17.62,34588
Argentina,Soybeans,591.0,37842.0,17.74,20446
Argentina,Soybeans,591.0,37842.0,17.62,20446
Argentina,Sweet potatoes,591.0,37842.0,17.74,168000
Argentina,Sweet potatoes,591.0,37842.0,17.62,168000
Argentina,Wheat,591.0,37842.0,17.74,21675
Argentina,Wheat,591.0,37842.0,17.62,21675
Argentina,Cassava,591.0,54595.0,17.64,100000
Argentina,Cassava,591.0,54595.0,17.97,100000
Argentina,Maize,591.0,54595.0,17.64,40397
Argentina,Maize,591.0,54595.0,17.97,40397
Argentina,Potatoes,591.0,54595.0,17.64,228877
Argentina,Potatoes,591.0,54595.0,17.97,228877
Argentina,"Rice, paddy",591.0,54595.0,17.64,51031
Argentina,"Rice, paddy",591.0,54595.0,17.97,51031
Argentina,Sorghum,591.0,54595.0,17.64,38763
Argentina,Sorghum,591.0,54595.0,17.97,38763
Argentina,Soybeans,591.0,54595.0,17.64,21051
Argentina,Soybeans,591.0,54595.0,17.97,21051
Argentina,Sweet potatoes,591.0,54595.0,17.64,170000
Argentina,Sweet potatoes,591.0,54595.0,17.97,170000
Argentina,Wheat,591.0,54595.0,17.64,19344
Argentina,Wheat,591.0,54595.0,17.97,19344
Argentina,Cassava,591.0,77691.0,18.29,100000
Argentina,Cassava,591.0,77691.0,18.54,100000
Argentina,Maize,591.0,77691.0,18.29,45557
Argentina,Maize,591.0,77691.0,18.54,45557
Argentina,Potatoes,591.0,77691.0,18.29,268502
Argentina,Potatoes,591.0,77691.0,18.54,268502
Argentina,"Rice, paddy",591.0,77691.0,18.29,53703
Argentina,"Rice, paddy",591.0,77691.0,18.54,53703
Argentina,Sorghum,591.0,77691.0,18.29,36845
Argentina,Sorghum,591.0,77691.0,18.54,36845
Argentina,Soybeans,591.0,77691.0,18.29,17212
Argentina,Soybeans,591.0,77691.0,18.54,17212
Argentina,Sweet potatoes,591.0,77691.0,18.29,145662
Argentina,Sweet potatoes,591.0,77691.0,18.54,145662
Argentina,Wheat,591.0,77691.0,18.29,22426
Argentina,Wheat,591.0,77691.0,18.54,22426
Argentina,Cassava,591.0,62397.0,17.23,100000
Argentina,Cassava,591.0,62397.0,17.52,100000
Argentina,Maize,591.0,62397.0,17.23,60780
Argentina,Maize,591.0,62397.0,17.52,60780
Argentina,Potatoes,591.0,62397.0,17.23,293744
Argentina,Potatoes,591.0,62397.0,17.52,293744
Argentina,"Rice, paddy",591.0,62397.0,17.23,47762
Argentina,"Rice, paddy",591.0,62397.0,17.52,47762
Argentina,Sorghum,591.0,62397.0,17.23,48105
Argentina,Sorghum,591.0,62397.0,17.52,48105
Argentina,Soybeans,591.0,62397.0,17.23,26937
Argentina,Soybeans,591.0,62397.0,17.52,26937
Argentina,Sweet potatoes,591.0,62397.0,17.23,175055
Argentina,Sweet potatoes,591.0,62397.0,17.52,175055
Argentina,Wheat,591.0,62397.0,17.23,26088
Argentina,Wheat,591.0,62397.0,17.52,26088
Argentina,Cassava,591.0,62831.39,17.15,100000
Argentina,Cassava,591.0,62831.39,17.71,100000
